"Saccharomyces cerevisiae","Rhodosporidium toruloides","CS","EL","Trees","phylome","ensembl","orthomcl","treefam","eggnog","hogenom"
"N1P787","M7XNP1","1.000","1","6","1.00/6","","","","",""
"A0A0D4GTP9","A0A061AXA9","0.600","2","5","0.50/4","","","","",""
"A0A0D4GS89","M7XGB9","1.000","2","3","1.00/2","","","","",""
"A0A0D4NHW0","M7XY91","0.600","2","5","0.50/4","","","","",""
"A0A0C5FPG2","M7WUV4","1.000","2","5","1.00/4","","","","",""
"A0A0D4JL26","M7X234","1.000","1","1","","","","","",""
"A0A0C6D172","M7XCR9","1.000","1","1","","","","","",""
"A0A0D4PFM6","M7WVT9","1.000","1","1","","","","","",""
"P47043","M7WWJ0","1.000","1","1","","","","","",""
"A0A0D4Z502","M7WGF6","0.667","1","3","1.00/2","","","","",""
"E7Q2T3","M7XXD7","1.000","1","1","","","","","",""
"A0A0D3XZU6","M7X3L7","0.714","2","7","0.67/6","","","","",""
"N1P4I4","M7XNH6","1.000","1","1","","","","","",""
"A0A0D4EZP7","M7WPK8","1.000","2","3","1.00/2","","","","",""
"A0A0D4Y243","M7XL28","1.000","2","3","1.00/2","","","","",""
"A0A0C5YGF6","M7WUX7","1.000","2","3","1.00/2","","","","",""
"A0A0D3S3A7","M7X737","1.000","2","3","1.00/2","","","","",""
"N1P269","M7WSE2","1.000","2","3","1.00/2","","","","",""
"N1P4J1","M7WTH2","1.000","2","3","1.00/2","","","","",""
"A0A0D4I281","M7WV27","1.000","2","3","1.00/2","","","","",""
"A0A0D4FFA3","M7XHL4","1.000","2","5","1.00/4","","","","",""
"A0A0C6D8M3","M7X452","1.000","2","3","1.00/2","","","","",""
"A0A0C5M4F7","M7XYQ8","1.000","2","3","1.00/2","","","","",""
"A0A0C6CDU8","M7WQW0","1.000","2","13","1.00/12","","","","",""
"A0A0D3U2H1","M7XE92","1.000","1","1","","","","","",""
"A0A0D4JB80","M7WW85","0.923","1","13","1.00/12","","","","",""
"A0A0D3Y099","A0A061BG46","0.667","1","3","1.00/2","","","","",""
"A0A0D4UN11","M7WQZ1","0.933","2","15","0.93/14","","","","",""
"A0A0D3X3Y2","M7WSQ6","0.818","1","11","0.90/10","","","","",""
"A0A0D4FVQ6","M7XBB7","1.000","1","1","","","","","",""
"A0A0C5YH71","M7Y0M2","1.000","2","3","1.00/2","","","","",""
"A0A0D4NXV7","M7WWR9","0.500","1","2","0.50/2","","","","",""
"A0A024XJE9","M7XXP6","1.000","2","3","1.00/2","","","","",""
"A0A0C6CQX8","M7WJQ9","0.600","2","5","0.50/4","","","","",""
"A0A0D4I295","M7WQ90","0.667","2","3","0.50/2","","","","",""
"N1P327","M7XSE3","1.000","1","1","","","","","",""
"N1P629","M7X1J7","1.000","2","3","1.00/2","","","","",""
"A0A0C5NTI7","M7XCF3","1.000","2","3","1.00/2","","","","",""
"A0A0C5Z748","M7WTT8","1.000","2","3","1.00/2","","","","",""
"A0A0D4U7X9","M7X0Y9","1.000","2","3","1.00/2","","","","",""
"A0A0C5YW71","M7XTJ4","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q1T8","M7WK45","1.000","2","3","1.00/2","","","","",""
"A0A0D4EGC8","M7WKB3","1.000","1","1","","","","","",""
"A0A0D4FN48","M7XNY3","1.000","2","3","1.00/2","","","","",""
"A0A0C6AK23","M7WVD1","1.000","2","3","1.00/2","","","","",""
"A0A0D4ISM3","M7X4M7","0.667","1","3","1.00/2","","","","",""
"A0A0D4K1T7","M7WYQ3","1.000","2","3","1.00/2","","","","",""
"N1NWI9","M7X6W0","1.000","1","1","","","","","",""
"N1P3A7","M7WXI5","0.667","1","3","1.00/2","","","","",""
"A0A0D3TWA8","M7X584","1.000","1","2","1.00/2","","","","",""
"A0A0D4I1F6","M7XB90","1.000","1","2","1.00/2","","","","",""
"A0A0D4VZN6","M7WLG7","1.000","1","1","","","","","",""
"A0A0D4SRT9","M7WSA1","1.000","2","3","1.00/2","","","","",""
"A0A0D4KF95","M7XMR4","0.667","1","3","1.00/2","","","","",""
"N1P059","M7XWQ0","1.000","2","3","1.00/2","","","","",""
"A0A0D4REC3","M7X295","1.000","1","1","","","","","",""
"A0A0D4HZR8","M7WP82","0.667","1","3","1.00/2","","","","",""
"A0A0D4UQE9","M7XG80","1.000","2","3","1.00/2","","","","",""
"A0A0D4FFG1","M7WWK7","0.875","1","8","0.88/8","","","","",""
"A0A0D4JWE7","M7X0B3","0.800","1","5","1.00/4","","","","",""
"N1P1U1","M7WXP1","1.000","2","5","1.00/4","","","","",""
"A0A0C5NVH5","M7XK80","1.000","2","3","1.00/2","","","","",""
"P28708","M7X3M8","1.000","1","1","","","","","",""
"A0A0D4WAI8","M7XB33","1.000","2","3","1.00/2","","","","",""
"A0A0D3WNC7","M7XYG3","0.667","1","3","1.00/2","","","","",""
"N1P5T5","M7X4B1","0.667","1","3","1.00/2","","","","",""
"M!03906400","M7XHB5","1.000","1","4","1.00/4","","","","",""
"A0A0D4Q245","M7X998","0.667","1","3","1.00/2","","","","",""
"A0A0D4GTJ4","M7XW02","1.000","2","3","1.00/2","","","","",""
"A0A0D3WQ80","M7XPE3","0.500","1","2","0.50/2","","","","",""
"A0A0D3ULR2","M7XFV7","1.000","1","1","","","","","",""
"A0A0D4Q5F5","M7XX64","1.000","2","3","1.00/2","","","","",""
"A0A0D3S1E3","M7XAZ3","1.000","2","3","1.00/2","","","","",""
"A0A0D4SR39","M7WKW0","0.750","1","12","0.75/12","","","","",""
"A0A0D3Y087","M7WNA2","1.000","2","3","1.00/2","","","","",""
"P53759","M7X664","1.000","2","7","1.00/6","","","","",""
"A0A0C5ZWH4","M7WVP5","1.000","2","3","1.00/2","","","","",""
"A0A0C6ARZ3","M7WZX2","1.000","2","17","1.00/16","","","","",""
"A0A0D4I129","M7XU75","1.000","2","3","1.00/2","","","","",""
"A0A0D3Y0J9","M7WTV5","0.600","2","5","0.50/4","","","","",""
"N1NWD2","M7XTQ1","1.000","1","1","","","","","",""
"A0A0D4AVV6","M7WUX9","1.000","1","1","","","","","",""
"G2WP89","M7WCG1","1.000","2","3","1.00/2","","","","",""
"P53320","M7XDP1","1.000","2","5","1.00/4","","","","",""
"D6W196","M7WHA6","1.000","1","1","","","","","",""
"N1NZC4","M7XR25","1.000","1","1","","","","","",""
"N1P5T0","M7XQ08","1.000","1","1","","","","","",""
"A0A0D4NY13","M7WPN6","1.000","2","3","1.00/2","","","","",""
"A0A0D3ZTC1","M7XMT8","1.000","2","3","1.00/2","","","","",""
"A0A0D4SRF5","M7WXX4","0.778","2","9","0.75/8","","","","",""
"A0A0D4KR97","M7WK66","0.600","2","5","0.50/4","","","","",""
"A0A0D3UDF4","M7WKT2","1.000","1","1","","","","","",""
"A0A0D4GUF9","M7X3X1","1.000","1","2","1.00/2","","","","",""
"A0A0D4QMR4","M7WYX7","0.923","1","13","1.00/12","","","","",""
"A0A0D4NQG9","M7XJI6","0.933","2","15","0.93/14","","","","",""
"A0A0D3SSX2","M7WTI5","1.000","1","1","","","","","",""
"N1P8D5","M7X4G2","0.500","1","4","0.50/4","","","","",""
"N1P7M4","M7WYM8","1.000","1","1","","","","","",""
"A0A0D4H6T1","M7XJ50","0.941","2","17","0.94/16","","","","",""
"A0A0C5QM02","M7X3N6","1.000","2","3","1.00/2","","","","",""
"A0A0C6D825","M7WJY9","1.000","2","3","1.00/2","","","","",""
"A0A0C5M3T4","M7WJU4","0.667","1","3","1.00/2","","","","",""
"A0A0D4TSZ0","M7WRW6","1.000","2","3","1.00/2","","","","",""
"A0A0D3XGR6","M7WZZ2","1.000","2","3","1.00/2","","","","",""
"A0A0D4ATW4","M7XHM6","1.000","2","3","1.00/2","","","","",""
"Q07895","M7XJC0","1.000","1","2","1.00/2","","","","",""
"A0A0C5F8K7","M7X1N8","1.000","2","3","1.00/2","","","","",""
"N1NW64","M7XD11","0.667","1","3","1.00/2","","","","",""
"A0A0D3ULW1","M7XM05","1.000","2","3","1.00/2","","","","",""
"A0A0D3TSQ2","M7WMS2","1.000","1","1","","","","","",""
"A0A0D3UKN4","M7WWF5","0.500","1","4","0.50/4","","","","",""
"A0A0D4VZN4","M7X5R0","1.000","1","1","","","","","",""
"N1NVY5","M7WXJ2","0.818","2","11","0.80/10","","","","",""
"A0A0D3Y0U2","M!04333318","1.000","1","2","1.00/2","","","","",""
"A0A0D3SKI2","M7WVM4","1.000","2","13","1.00/12","","","","",""
"A0A0D4Q2G5","M7WZ39","1.000","1","2","1.00/2","","","","",""
"A0A0C5QML7","M7XLB6","1.000","2","3","1.00/2","","","","",""
"A0A0D4N1E1","M7XJ24","1.000","1","2","1.00/2","","","","",""
"A0A0D4UQC9","M7XJ33","1.000","1","1","","","","","",""
"A0A0D4EGQ5","M7WV27","1.000","2","3","1.00/2","","","","",""
"A0A0C5LHW9","M7XNJ1","1.000","1","2","1.00/2","","","","",""
"A0A0D4RK24","M7WIA6","1.000","2","3","1.00/2","","","","",""
"A0A0D4I1R4","M7WX38","1.000","1","4","1.00/4","","","","",""
"A0A0D4EGD2","M7X4K7","1.000","2","3","1.00/2","","","","",""
"A0A0C5YI67","M7WDC1","0.667","1","3","1.00/2","","","","",""
"A0A0D3UK37","A0A061AW89","1.000","2","3","1.00/2","","","","",""
"B3LKG0","M7XZ96","0.667","1","3","1.00/2","","","","",""
"A0A0D4NTV8","M7WVJ2","1.000","1","1","","","","","",""
"A0A0C5FL72","M7XJU2","1.000","1","1","","","","","",""
"A0A0C5NTY6","M7XJ24","1.000","2","7","1.00/6","","","","",""
"A0A0D4UM74","M7XHB6","0.667","1","3","1.00/2","","","","",""
"A0A0C5LHZ5","M7XE22","1.000","1","2","1.00/2","","","","",""
"M!03908871","M7XL01","0.667","1","3","1.00/2","","","","",""
"A0A0D4NQG1","M7WSH7","1.000","2","13","1.00/12","","","","",""
"A0A0D4Q317","M7XTZ4","1.000","2","3","1.00/2","","","","",""
"Q06628","M7WJX5","1.000","1","1","","","","","",""
"A0A0C5NYY7","M7WVU9","1.000","2","5","1.00/4","","","","",""
"A0A0D3TMQ1","M7WWB8","1.000","2","3","1.00/2","","","","",""
"A0A0C5YPX6","M7WNG2","1.000","1","2","1.00/2","","","","",""
"A0A0D4GSE5","M7WHQ7","1.000","2","3","1.00/2","","","","",""
"A0A0D4XNR3","M7XQS3","1.000","1","1","","","","","",""
"A0A0C5QMM2","M7XHZ7","1.000","2","3","1.00/2","","","","",""
"N1NZH3","M7XLA4","1.000","2","3","1.00/2","","","","",""
"A0A0D3XZV3","M7WFJ0","1.000","2","3","1.00/2","","","","",""
"A0A0D4RJ88","M7WR40","0.600","2","5","0.50/4","","","","",""
"N1NZV3","M7X0A4","1.000","1","2","1.00/2","","","","",""
"A0A0D3UKF2","M7WQH7","1.000","1","1","","","","","",""
"A0A0C5LT86","M7X1E7","1.000","2","3","1.00/2","","","","",""
"A0A0C6CDV7","M7WMV7","1.000","2","3","1.00/2","","","","",""
"N1NW50","M7X0K6","1.000","1","2","1.00/2","","","","",""
"A0A0D4Y1D7","M7XLG3","1.000","2","3","1.00/2","","","","",""
"A0A0D4WQ42","M7XYF6","1.000","2","3","1.00/2","","","","",""
"A0A0D4KPI1","M7XZD9","1.000","2","3","1.00/2","","","","",""
"A0A0D4N4J7","M7WLN5","1.000","2","3","1.00/2","","","","",""
"A0A0C6CVF7","M7XMA7","1.000","2","3","1.00/2","","","","",""
"A0A0D4AVX1","M7WWW0","0.667","1","3","1.00/2","","","","",""
"A0A0D3XXR5","M7X795","1.000","2","3","1.00/2","","","","",""
"A0A0D4GXP3","M7WVH9","1.000","1","2","1.00/2","","","","",""
"A0A0D4YUX0","M7WPA6","1.000","2","3","1.00/2","","","","",""
"A0A0D4RGQ8","M7XSD3","1.000","1","1","","","","","",""
"A0A0D3U1B1","M7WV07","1.000","2","3","1.00/2","","","","",""
"A0A0D4EGM3","M7XQB9","0.667","1","3","1.00/2","","","","",""
"A0A0D4ULZ1","M7X4F8","1.000","1","1","","","","","",""
"A0A0C5ZVZ9","M7XRG9","1.000","2","3","1.00/2","","","","",""
"A0A0D4RLH8","M7WW43","1.000","1","1","","","","","",""
"A0A0D4XP25","M7Y058","1.000","2","3","1.00/2","","","","",""
"Q12222","M7XIV2","1.000","1","1","","","","","",""
"A0A0D4EFX9","M7WYS0","1.000","2","3","1.00/2","","","","",""
"A0A0D4AU15","M7XGB9","1.000","2","3","1.00/2","","","","",""
"A0A0D3S1Y1","M7XRN2","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q1X0","M7XE48","1.000","2","3","1.00/2","","","","",""
"M!03906230","M7WRF3","1.000","2","3","1.00/2","","","","",""
"A0A0D4ES49","M7X2H9","1.000","2","3","1.00/2","","","","",""
"A0A0D4K5H5","M7XM69","0.500","1","4","0.50/4","","","","",""
"A0A0C5YXJ1","M7XAR9","1.000","1","1","","","","","",""
"A0A0D3U0S2","M7WYV4","1.000","2","3","1.00/2","","","","",""
"A0A0D3ZRH4","M7WW85","0.923","1","13","1.00/12","","","","",""
"A0A0D4Q2P9","M7WPK6","1.000","2","3","1.00/2","","","","",""
"A0A0D3UVV2","M7XYR3","1.000","2","3","1.00/2","","","","",""
"A0A0D3XYA8","M7X121","0.600","2","5","0.50/4","","","","",""
"A0A0D4RD52","M7XF35","1.000","2","3","1.00/2","","","","",""
"N1P9A8","M7WZ10","1.000","2","3","1.00/2","","","","",""
"N1P6D9","M!04333453","1.000","1","1","","","","","",""
"A0A0D4WAH7","M7XAS2","1.000","2","3","1.00/2","","","","",""
"A0A0D4I1G5","M7XQ37","1.000","2","3","1.00/2","","","","",""
"M!03906360","M7XYM0","0.667","1","3","1.00/2","","","","",""
"P42943","M7WKA4","1.000","2","19","1.00/18","","","","",""
"A0A0D4N0H4","M7WU75","1.000","1","1","","","","","",""
"A0A0D4N0N4","M7X4N7","0.667","1","3","1.00/2","","","","",""
"M!03906621","M7WKK8","1.000","1","1","","","","","",""
"A0A0D4KQT0","M7WW72","1.000","2","3","1.00/2","","","","",""
"A0A0D4XVU9","M7WQI0","1.000","1","2","1.00/2","","","","",""
"A0A0D4Q2T5","M7XKN4","1.000","2","3","1.00/2","","","","",""
"A0A0C6CK03","M7X4Z9","1.000","2","3","1.00/2","","","","",""
"A0A0D4UMR5","M7WMI6","1.000","2","3","1.00/2","","","","",""
"A0A0D4UN62","M7WK86","1.000","2","3","1.00/2","","","","",""
"A0A0D4ATZ7","M7WTQ1","1.000","1","1","","","","","",""
"A0A0C5FFG2","M7X1Q2","1.000","2","3","1.00/2","","","","",""
"A0A0D4LSC4","M7WSY2","0.800","1","5","1.00/4","","","","",""
"A0A0D4TTM3","M7XLT5","1.000","2","3","1.00/2","","","","",""
"A0A0D4S415","M7XRB9","1.000","1","1","","","","","",""
"A0A0D4Q3L8","M7WVP5","1.000","2","3","1.00/2","","","","",""
"A0A0C6AXY9","M7WJ06","0.667","1","6","0.67/6","","","","",""
"A0A0D4AUN6","M7WCM6","1.000","2","3","1.00/2","","","","",""
"A0A0C5LQI5","M7XJG9","1.000","2","3","1.00/2","","","","",""
"A0A0D4W9Y7","M7WFV3","0.667","1","3","1.00/2","","","","",""
"A0A0D4RJV7","M7X4R5","1.000","1","2","1.00/2","","","","",""
"N1P558","M7XDF0","1.000","1","2","1.00/2","","","","",""
"N1P3H1","M7XUB9","1.000","2","7","1.00/6","","","","",""
"Q04199","M7WYX0","1.000","2","3","1.00/2","","","","",""
"A0A0D3XZI0","M7X5J4","1.000","2","5","1.00/4","","","","",""
"A0A0D4GSG1","M7XAZ8","1.000","2","3","1.00/2","","","","",""
"A0A0C6ABQ7","M7WM84","1.000","2","3","1.00/2","","","","",""
"M!03904467","M7WXC4","1.000","2","3","1.00/2","","","","",""
"A0A0C6BLJ0","M7XU58","0.667","1","3","1.00/2","","","","",""
"A0A0D3TIH9","M7X0Q4","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q1W7","M7WP76","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q319","M7XVS8","1.000","1","1","","","","","",""
"Q01896","M7WQA8","1.000","2","13","1.00/12","","","","",""
"E7Q7N5","M7X6Z9","1.000","1","1","","","","","",""
"N1P4M2","M7X1L0","1.000","1","1","","","","","",""
"A0A0C5MM54","M7WQK0","1.000","2","4","1.00/2","1.00/2","","","",""
"A0A0C6A4K7","M7X5D3","1.000","1","1","","","","","",""
"N1NYN0","M7X6B6","1.000","2","3","1.00/2","","","","",""
"A0A0C6D153","M7WKX0","1.000","2","3","1.00/2","","","","",""
"A0A0D4K735","M7XIM6","1.000","2","3","1.00/2","","","","",""
"A0A0D4KNH0","M7X622","1.000","2","3","1.00/2","","","","",""
"C8Z4Z2","M7XV41","1.000","2","5","1.00/4","","","","",""
"A0A0D4K7R7","M7WD50","1.000","2","3","1.00/2","","","","",""
"A0A0D4Y2T0","M7XDY6","0.800","2","5","0.75/4","","","","",""
"N1P2U4","M7WMI2","1.000","1","16","1.00/16","","","","",""
"A0A0D4SSU1","M7WNH3","1.000","2","7","1.00/6","","","","",""
"A0A0D4FXW7","M7X5E3","1.000","2","3","1.00/2","","","","",""
"A0A0D4Y2T1","M7XNR2","0.714","2","7","0.67/6","","","","",""
"A0A0D4Y1Z1","M7WMC4","1.000","2","3","1.00/2","","","","",""
"A0A0D3XXR8","M7XI06","0.667","1","3","1.00/2","","","","",""
"N1NZV7","M7WPL1","1.000","2","3","1.00/2","","","","",""
"A0A0C5QU77","M7XJ60","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q702","M7XU92","1.000","2","15","1.00/14","","","","",""
"A0A0D4Q2Q4","M7XCY6","1.000","1","2","1.00/2","","","","",""
"A0A0D4UMV1","M7XRQ7","1.000","2","3","1.00/2","","","","",""
"A0A0D4JN31","M7WSA8","1.000","1","1","","","","","",""
"N1NYL3","M7X473","1.000","2","3","1.00/2","","","","",""
"A0A0C6D883","M7WTH2","1.000","2","3","1.00/2","","","","",""
"A0A0D4I1P8","M7XN94","1.000","1","1","","","","","",""
"A0A0D3Y072","M7WMZ9","1.000","1","1","","","","","",""
"A0A0D3UK82","M7X9C4","1.000","2","3","1.00/2","","","","",""
"A0A0D4UMR8","M7WRR0","1.000","2","5","1.00/4","","","","",""
"A0A0D4AUB2","M7XS74","1.000","2","11","1.00/10","","","","",""
"A0A0D4Y2M8","M7WJE8","1.000","2","3","1.00/2","","","","",""
"A0A0C6D1E0","M7X6Z4","1.000","2","3","1.00/2","","","","",""
"M!03908842","M7XER3","1.000","2","3","1.00/2","","","","",""
"N1P355","M7WW81","1.000","1","1","","","","","",""
"A0A0D3XXE6","M7WQC6","1.000","1","1","","","","","",""
"A0A0C6CQ17","M7WKN8","1.000","2","3","1.00/2","","","","",""
"A0A0C6CE69","M7XN57","0.600","2","5","0.50/4","","","","",""
"A0A0D4AUZ5","A0A061AHS5","1.000","2","3","1.00/2","","","","",""
"A0A0D4NQP2","M7X394","0.714","2","7","0.67/6","","","","",""
"A0A0C5Z1C1","M7WWD9","1.000","2","3","1.00/2","","","","",""
"A0A0D4TKU1","M7XXQ5","1.000","2","3","1.00/2","","","","",""
"A0A0D4KPL9","M7XSR7","1.000","2","29","1.00/28","","","","",""
"A0A0D4I125","M7XEP0","1.000","2","3","1.00/2","","","","",""
"A0A0D4GVA3","M7WWX9","1.000","2","3","1.00/2","","","","",""
"P53855","M7XCC4","1.000","1","1","","","","","",""
"A0A0D4H928","M7WJR6","1.000","1","2","1.00/2","","","","",""
"A0A0D4I3L5","M7XB81","1.000","2","3","1.00/2","","","","",""
"A0A0D3TGL6","M7XFC8","1.000","2","3","1.00/2","","","","",""
"A0A0D4Y1Q3","M7WFI6","1.000","2","3","1.00/2","","","","",""
"A0A0D4Y1W1","M7XUK1","1.000","2","11","1.00/10","","","","",""
"A0A0D4XNW7","M7WTH2","1.000","2","3","1.00/2","","","","",""
"N1NXV4","M7WFV8","1.000","1","1","","","","","",""
"A0A0D4NUH4","M7X510","1.000","2","3","1.00/2","","","","",""
"A0A0D4WBC4","M7WUY8","1.000","1","1","","","","","",""
"A0A0C5ZWG0","M7WZW8","1.000","2","5","1.00/4","","","","",""
"N1NYK3","M7WMH2","0.667","2","3","0.50/2","","","","",""
"A0A0D4Q1N7","A0A061B372","1.000","2","15","1.00/14","","","","",""
"N1NXH2","M7XQE0","1.000","2","9","1.00/8","","","","",""
"A0A0D3W2S2","M7XGF5","0.667","1","3","1.00/2","","","","",""
"A0A0C5LH27","M7XGU2","1.000","2","5","1.00/4","","","","",""
"A0A0C6ARA4","A0A061AX20","0.667","1","3","1.00/2","","","","",""
"A0A0D3XYB9","M7WQ31","0.800","2","5","0.75/4","","","","",""
"A0A0C5QQV8","M7Y014","1.000","2","3","1.00/2","","","","",""
"N1P5D8","M7WPC6","1.000","1","1","","","","","",""
"A0A0D4GTV1","M7XSI3","0.500","1","4","0.50/4","","","","",""
"A0A0D4Q2Y3","M7X2J7","1.000","2","3","1.00/2","","","","",""
"O14464","M7WTY1","1.000","1","2","1.00/2","","","","",""
"A0A0D3ZG65","M7X0N4","1.000","2","3","1.00/2","","","","",""
"Q08964","M7XCR9","1.000","1","1","","","","","",""
"A0A0C6BGY7","M7WFB4","1.000","1","4","1.00/4","","","","",""
"A0A0D4RKH9","M7XHN3","1.000","2","3","1.00/2","","","","",""
"A0A0D4AUN2","M7X4I3","0.714","2","7","0.67/6","","","","",""
"A0A0D4AUM8","M7X2C5","0.857","1","14","0.86/14","","","","",""
"A0A0D3WN22","M7XZL2","1.000","2","3","1.00/2","","","","",""
"A0A0D4F0N3","M7X8V9","1.000","2","3","1.00/2","","","","",""
"A0A0C5LHI9","M7WM96","1.000","1","2","1.00/2","","","","",""
"A0A0C5RD11","M7WNH3","1.000","2","7","1.00/6","","","","",""
"A0A0D4Y201","M7WY37","0.750","1","4","0.75/4","","","","",""
"A0A0D4RUQ5","M7XAK9","1.000","2","19","1.00/18","","","","",""
"A0A0C5R2N1","M7XL25","1.000","2","3","1.00/2","","","","",""
"A0A0D3UK92","M7XHF8","0.800","1","5","1.00/4","","","","",""
"A0A0C6CDI7","M7WI15","1.000","2","3","1.00/2","","","","",""
"A0A0C6ACG7","M7WQ32","1.000","2","3","1.00/2","","","","",""
"A0A0D4NQK9","M7WQ53","1.000","1","1","","","","","",""
"A0A0D4UPF0","M7WLR9","1.000","2","5","1.00/4","","","","",""
"A0A0D4ATX4","M7WZI6","1.000","2","7","1.00/6","","","","",""
"A0A0D4Q2U9","M7X6B7","1.000","2","3","1.00/2","","","","",""
"A0A0C5ZJ15","A0A061AHU5","1.000","1","1","","","","","",""
"N1NXH9","M7X6L3","1.000","1","1","","","","","",""
"A0A0D3ZSR1","M7WYV6","1.000","2","3","1.00/2","","","","",""
"A0A0C5QRP7","M7XHK5","1.000","2","3","1.00/2","","","","",""
"M!03907491","M7X458","1.000","2","3","1.00/2","","","","",""
"A0A0D3S3E9","M7X4B6","1.000","2","7","1.00/6","","","","",""
"E7Q7G7","M7WT83","1.000","2","3","1.00/2","","","","",""
"A0A0D4I8G8","M7XNZ5","1.000","2","3","1.00/2","","","","",""
"A0A0D4F066","M7WPC1","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q3D0","M7XA42","0.667","1","3","1.00/2","","","","",""
"A0A0D4Q278","M7WSJ5","1.000","2","3","1.00/2","","","","",""
"A0A0C5ZZ99","M7XMX5","1.000","2","3","1.00/2","","","","",""
"A0A0D4KNL4","M7XJW0","1.000","2","5","1.00/4","","","","",""
"A0A0D4SR65","M7XIA6","1.000","2","7","1.00/6","","","","",""
"A0A0D4KRC0","M7WTI0","1.000","2","3","1.00/2","","","","",""
"A0A0D4I1I8","M7WFY9","1.000","2","11","1.00/10","","","","",""
"A0A0C5N5B3","M7WD91","1.000","2","3","1.00/2","","","","",""
"N1P2Z6","M7WQN9","1.000","1","6","1.00/6","","","","",""
"A0A0C5LSV2","M7WSZ7","1.000","1","16","1.00/16","","","","",""
"A0A0D4Y2M3","M7WWK0","0.857","1","7","1.00/6","","","","",""
"N1P5L5","M7XDP8","0.917","1","12","0.92/12","","","","",""
"N1NYY4","M7WZY6","1.000","2","7","1.00/6","","","","",""
"A0A0D4TJ70","M7X3Q5","1.000","2","11","1.00/10","","","","",""
"A0A0D4UNL2","M7WZ67","1.000","2","23","1.00/22","","","","",""
"A0A0D4AUM5","M7WZB1","1.000","2","3","1.00/2","","","","",""
"A0A0D4P7G0","M7X8B5","1.000","1","1","","","","","",""
"N1P3L6","M7XI95","1.000","1","2","1.00/2","","","","",""
"A0A0D4Y242","M7WUQ7","1.000","1","1","","","","","",""
"A0A0D4VZR5","M7WPS8","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q6H7","M7XS31","0.789","2","19","0.78/18","","","","",""
"A0A0C5Y4W5","M7X8A4","1.000","1","4","1.00/4","","","","",""
"A0A0C6ACP4","M7WVZ0","1.000","2","3","1.00/2","","","","",""
"A0A0C5YVE3","M7XH01","1.000","1","2","1.00/2","","","","",""
"A0A0D3SC35","M7XKZ2","1.000","2","5","1.00/4","","","","",""
"A0A0C6B1F1","M7X1X8","1.000","2","3","1.00/2","","","","",""
"A0A0D4TAH0","M7WSS4","1.000","1","1","","","","","",""
"A0A0C6BW62","M7XKV7","1.000","2","3","1.00/2","","","","",""
"A0A0D4QLC2","M7WRB3","1.000","2","5","1.00/4","","","","",""
"A0A0D4MHB0","M7WLS4","1.000","2","3","1.00/2","","","","",""
"A0A0C6D0T3","M7XUZ4","1.000","1","4","1.00/4","","","","",""
"A0A0D4WMA2","M7X8D2","1.000","2","5","1.00/4","","","","",""
"A0A0C5ZXD0","M7WQ73","1.000","2","9","1.00/8","","","","",""
"N1P1S0","M7WR19","1.000","1","4","1.00/4","","","","",""
"A0A0D4JXX8","M7WZM7","1.000","2","7","1.00/6","","","","",""
"A0A0D4Y2S0","M7WGE7","1.000","2","3","1.00/2","","","","",""
"A0A0D4AV27","M7WDM3","0.667","1","3","1.00/2","","","","",""
"E7Q5Q9","M7XPU4","1.000","1","1","","","","","",""
"A0A0D4AUJ5","M7WT53","1.000","2","3","1.00/2","","","","",""
"A0A0C5FVX5","M7XRX0","1.000","2","3","1.00/2","","","","",""
"P38825","M7WNG0","0.600","2","5","0.50/4","","","","",""
"A0A0C6AIE1","M7XDH7","0.571","2","7","0.50/6","","","","",""
"A0A0D3UK09","M7WW54","0.556","2","9","0.50/8","","","","",""
"A0A0D4Q1Z4","M7WK05","1.000","1","2","1.00/2","","","","",""
"M!03904707","M7X0W8","1.000","2","3","1.00/2","","","","",""
"A0A0C6D159","M7XDA2","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q638","M7WS43","0.500","1","4","0.50/4","","","","",""
"A0A0C5LR31","M7WYX3","1.000","2","3","1.00/2","","","","",""
"A0A0C5FFF7","M7XIQ2","1.000","2","3","1.00/2","","","","",""
"A0A0C6BXA8","M7XAB1","1.000","2","3","1.00/2","","","","",""
"A0A0D4UN52","M7XIR7","1.000","2","5","1.00/4","","","","",""
"N1P5D2","M7WXZ2","1.000","1","1","","","","","",""
"A0A0D3XX88","M7XRJ6","0.818","2","11","0.80/10","","","","",""
"A0A0D4GVQ2","M7WKJ2","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q339","M7WSC6","1.000","2","3","1.00/2","","","","",""
"A0A0D4I3W5","M7XIP2","1.000","2","3","1.00/2","","","","",""
"N1P5E5","M7WVU2","1.000","2","5","1.00/4","","","","",""
"E7Q6G0","M7X6X6","1.000","2","3","1.00/2","","","","",""
"A0A0D4WN69","M7WLQ3","1.000","2","3","1.00/2","","","","",""
"A0A0D4AVG1","M7WPI3","1.000","1","1","","","","","",""
"A0A0D4H622","M7WR96","1.000","1","2","1.00/2","","","","",""
